gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,1,Blue,top,Morgan,oe:player:f73dde2d8c7879ae8d1fcdc03c4ffeb,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Irelia,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,2447,0,0,4,0,5,18,0,0,0,0,0,0,0,0,0.1226,0.564,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,16459,403.5717,0.159095,810.3555,1202.1577,15,0.3678,9,0.2207,10,38,0.9318,14645,9379,229.9714,0.234032,14800,,375,345,30,,,9.1949,3281,4688,88,3047,4411,80,234,277,8,0,0,0,0,0,0,5288,7430,145,4781,6958,132,507,472,13,0,0,0,0,0,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,2,Blue,jng,Willer,oe:player:baf26814ef7b2f10fac33a00c3d53a3,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Sejuani,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,2447,0,0,4,5,5,18,0,0,0,0,0,0,0,0,0.1226,0.564,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,1,10597,259.8365,0.102432,751.9984,1186.4405,22,0.5394,21,0.5149,20,74,1.8145,11325,6059,148.5656,0.151185,11300,,220,37,183,,,5.3944,3029,3202,65,3784,4246,73,-755,-1044,-8,0,0,0,1,0,0,4974,6002,112,5456,6777,114,-482,-775,-2,0,0,0,1,0,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Tryndamere,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,2447,0,1,3,4,5,18,0,0,0,0,0,0,0,0,0.1226,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,22865,560.6457,0.221016,1285.1573,1555.611,14,0.3433,23,0.564,10,72,1.7654,16177,10911,267.5358,0.272262,16100,,414,389,25,,,10.1512,3283,4614,90,3275,4825,89,8,-211,1,0,0,0,0,0,0,5547,7721,155,5419,7747,143,128,-26,12,0,0,0,1,1,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Ezreal,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,2447,0,3,4,1,5,18,0,0,0,0,0,0,0,1,0.1226,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,44350,1087.454,0.428693,518.6678,397.8341,23,0.564,6,0.1471,9,46,1.1279,15994,10728,263.0486,0.267695,14425,,381,343,38,,,9.3421,3227,3462,79,2813,2673,60,414,789,19,0,0,1,0,1,0,4802,5327,124,5464,5619,125,-662,-292,-1,0,0,2,1,2,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,5,Blue,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Karma,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,2447,0,1,3,3,5,18,0,0,0,0,0,0,0,0,0.1226,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,9183,225.1655,0.0887641,265.5497,203.2693,67,1.6428,17,0.4168,25,119,2.9179,8265,2999,73.5349,0.0748254,8375,,35,35,0,,,0.8582,2425,2189,9,2174,2147,13,251,42,-4,0,0,0,0,1,0,3297,3427,12,3412,3566,25,-115,-139,-13,0,0,1,0,3,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,6,Red,top,Ale,oe:player:f40f1b0923c35568f417aef1e01ca6b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Jax,Lee Sin,Yuumi,Sylas,Ziggs,Braum,2447,1,6,0,8,18,5,0,0,0,0,0,0,0,0,0.4414,0.564,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,0,31699,777.2538,0.281796,918.2918,1339.2971,18,0.4414,12,0.2942,5,45,1.1034,19128,13862,339.8937,0.26501,18025,,395,338,57,,,9.6853,3047,4411,80,3281,4688,88,-234,-277,-8,0,0,0,0,0,0,4781,6958,132,5288,7430,145,-507,-472,-13,0,0,0,0,0,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,7,Red,jng,Tarzan,oe:player:62922f2b370657a966de4d84f5586bf,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Qiyana,Lee Sin,Yuumi,Sylas,Ziggs,Braum,2447,1,1,1,8,18,5,0,0,0,0,1,1,0,0,0.4414,0.564,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,0,18054,442.6808,0.160496,998.0057,675.0552,12,0.2942,30,0.7356,13,92,2.2558,13499,8233,201.8717,0.157393,12375,,258,48,210,,,6.3261,3784,4246,73,3029,3202,65,755,1044,8,1,0,0,0,0,0,5456,6777,114,4974,6002,112,482,775,2,1,0,0,0,0,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,8,Red,mid,icon,oe:player:817434295a673aed431435658b65d9a,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Gragas,Lee Sin,Yuumi,Sylas,Ziggs,Braum,2447,1,2,1,10,18,5,0,0,0,0,0,0,0,0,0.4414,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,27552,675.5701,0.244931,636.3384,647.6911,10,0.2452,1,0.0245,3,20,0.4904,15853,10587,259.5913,0.202397,13975,,359,332,27,,,8.8026,3275,4825,89,3283,4614,90,-8,211,-1,0,0,0,0,0,0,5419,7747,143,5547,7721,155,-128,26,-12,1,1,0,0,0,0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,9,Red,bot,Light,oe:player:3c4d21c7addb20fea3fec30418ac3d3,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Miss Fortune,Lee Sin,Yuumi,Sylas,Ziggs,Braum,2447,1,7,2,6,18,5,1,0,0,0,1,0,1,0,0.4414,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,29230,716.7143,0.259848,435.9379,575.6518,14,0.3433,16,0.3923,3,46,1.1279,20128,14862,364.4136,0.284129,17275,,419,380,39,,,10.2738,2813,2673,60,3227,3462,79,-414,-789,-19,0,1,0,0,0,1,5464,5619,125,4802,5327,124,662,292,1,1,2,0,0,0,2
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WCS,2021,,0,10/5/2021 11:09,1,11.19,10,Red,sup,Iwandy,oe:player:db820b983e253a5e5926aa8cd8d1a82,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Rakan,Lee Sin,Yuumi,Sylas,Ziggs,Braum,2447,1,2,1,13,18,5,0,0,0,0,1,0,1,0,0.4414,0.564,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5954,145.991,0.0529296,463.5717,821.463,92,2.2558,20,0.4904,26,145,3.5554,10030,4764,116.8124,0.091071,10250,,43,43,0,,,1.0544,2174,2147,13,2425,2189,9,-251,-42,4,0,1,0,0,0,0,3412,3566,25,3297,3427,12,115,139,13,0,3,0,0,0,1
