gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03/1552437,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552437?gameHash=470a7b68d0d37f8a,WCS,2020,,0,10/17/2020 12:42,4,10.19,100,Blue,team,,,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,,Syndra,Sylas,Ezreal,Renekton,Camille,1608,0,13,18,26,13,18,1,0,0,0,1,,,,0.4851,1.1567,1,3,1,,,0,1,1,1,,,,0,0,1,2,0,0,0,1,1,5,8,1,1,,,0,1,63179,2357.4254,,3325.7836,2981.9403,66,2.4627,25,0.9328,27,155,5.7836,47230,29450,1098.8806,,46365,-0.0018316,,664,184,102,42,31.6418,17176,19482,319,16209,18649,334,967,833,-15,5,8,3,3,7,5,28309,30687,468,26600,29620,490,1709,1067,-22,12,25,9,9,20,12
ESPORTSTMNT03/1552437,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552437?gameHash=470a7b68d0d37f8a,WCS,2020,,0,10/17/2020 12:42,4,10.19,200,Red,team,,,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,,Orianna,Twisted Fate,Lucian,Braum,Rakan,1608,1,18,13,47,18,13,3,0,0,0,0,,,,0.6716,1.1567,0,1,3,,,0,0,0,1,,,,0,0,0,0,2,1,1,0,0,8,5,0,0,,,1,0,68571,2558.6194,,3233.5448,3665.6343,76,2.8358,28,1.0448,35,166,6.194,53588,35808,1336.1194,,46450,0.0018316,,726,174,103,21,33.5821,16209,18649,334,17176,19482,319,-967,-833,15,3,7,5,5,8,3,26600,29620,490,28309,30687,468,-1709,-1067,22,9,20,12,12,25,9
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,1,Blue,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Gangplank,Syndra,Sett,Lulu,Yuumi,Sion,1522,0,2,2,1,4,13,0,0,0,0,0,0,0,0,0.1577,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14900,587.385,0.441233,646.3601,440.4599,12,0.4731,2,0.0788,6,25,0.9855,10520,7140,281.4717,0.301582,10208,,222,222,0,0,0,8.7516,3456,4543,79,3177,4862,86,279,-319,-7,0,1,0,0,0,1,6483,8243,139,5018,7699,139,1465,544,0,1,1,0,0,0,2
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,2,Blue,jng,Selfmade,oe:player:96436efa39788172b8b2f90fc97e842,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Gragas,Syndra,Sett,Lulu,Yuumi,Sion,1522,0,2,3,1,4,13,0,0,0,0,0,0,0,0,0.1577,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6267,247.0565,0.185584,897.753,699.2641,8,0.3154,7,0.276,8,33,1.3009,7904,4524,178.3443,0.191079,7800,,159,17,142,119,0,6.2681,3142,2901,53,3667,4074,68,-525,-1173,-15,1,0,1,1,2,0,4525,4481,84,5784,6395,98,-1259,-1914,-14,1,0,2,2,3,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,3,Blue,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Twisted Fate,Syndra,Sett,Lulu,Yuumi,Sion,1522,0,0,4,1,4,13,0,0,0,0,0,0,0,1,0.1577,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5299,208.8962,0.156919,506.452,294.7963,4,0.1577,11,0.4336,3,31,1.2221,8341,4961,195.5716,0.209538,8575,,200,200,0,0,0,7.8844,3496,4420,85,4019,4718,88,-523,-298,-3,0,0,2,2,1,0,5136,6977,128,6726,7634,141,-1590,-657,-13,0,0,3,3,2,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,4,Blue,bot,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Senna,Syndra,Sett,Lulu,Yuumi,Sion,1522,0,0,1,2,4,13,0,0,0,0,0,0,0,0,0.1577,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4695,185.0854,0.139033,249.2247,100.9987,10,0.3942,5,0.1971,4,17,0.6702,8750,5370,211.6951,0.226815,8450,,226,221,5,1,0,8.9093,3461,3455,98,3166,3293,83,295,162,15,0,0,0,0,0,0,5031,5124,139,6716,6339,151,-1685,-1215,-12,0,0,0,1,1,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,5,Blue,sup,Hylissang,oe:player:3c784fdd6a025028ad063525c14027a,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Rakan,Syndra,Sett,Lulu,Yuumi,Sion,1522,0,0,3,2,4,13,0,0,0,0,0,0,0,0,0.1577,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2608,102.8121,0.0772306,394.8095,626.0184,40,1.5769,11,0.4336,8,70,2.7595,5061,1681,66.2681,0.0709871,4850,,33,33,0,0,0,1.3009,2000,2532,13,2172,2627,14,-172,-95,-1,0,0,0,0,2,0,3006,3695,20,3618,3941,26,-612,-246,-6,0,0,1,0,4,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,6,Red,top,369,oe:player:0c74b7f78409a4022a2c4c5a5ca3ee1,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,Vladimir,Lucian,Orianna,Graves,Kindred,Camille,1522,1,1,2,1,13,5,0,0,0,0,0,0,0,0,0.5125,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8345,328.975,0.182173,637.9632,259.3167,8,0.3154,5,0.1971,4,22,0.8673,10045,6665,262.7464,0.200814,8880,,245,230,15,9,0,9.6583,3177,4862,86,3456,4543,79,-279,319,7,0,0,1,0,1,0,5018,7699,139,6483,8243,139,-1465,-544,0,0,0,2,1,1,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,7,Red,jng,Karsa,oe:player:f3322656ae1facbf4763677fe2506a3,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,Lee Sin,Lucian,Orianna,Graves,Kindred,Camille,1522,1,4,1,6,13,5,0,0,0,0,1,1,0,0,0.5125,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6706,264.3627,0.146394,757.7267,752.0499,15,0.5913,6,0.2365,7,33,1.3009,9848,6468,254.9803,0.194878,8200,,150,10,140,77,7,5.9133,3667,4074,68,3142,2901,53,525,1173,15,1,2,0,1,0,1,5784,6395,98,4525,4481,84,1259,1914,14,2,3,0,1,0,2
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,8,Red,mid,knight,oe:player:ed29043422e3c515e1cb292464b990b,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,Sylas,Lucian,Orianna,Graves,Kindred,Camille,1522,1,4,0,6,13,5,0,0,0,0,1,0,1,0,0.5125,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10669,420.5913,0.232907,405.7293,310.0526,8,0.3154,10,0.3942,4,24,0.9461,11235,7855,309.6583,0.23667,9750,,232,214,18,9,8,9.1459,4019,4718,88,3496,4420,85,523,298,3,2,1,0,0,0,2,6726,7634,141,5136,6977,128,1590,657,13,3,2,0,0,0,3
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,9,Red,bot,JackeyLove,oe:player:c54e1090ef1faa736b12493051c4855,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,Ezreal,Lucian,Orianna,Graves,Kindred,Camille,1522,1,4,1,5,13,5,1,0,0,0,0,0,0,0,0.5125,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17817,702.3784,0.38895,372.5756,235.8213,9,0.3548,6,0.2365,4,15,0.5913,12803,9423,371.4717,0.283917,10550,,257,242,15,8,6,10.1314,3166,3293,83,3461,3455,98,-295,-162,-15,0,0,0,0,0,0,6716,6339,151,5031,5124,139,1685,1215,12,1,1,0,0,0,0
ESPORTSTMNT03/1552438,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,WCS,2020,,0,10/17/2020 13:33,5,10.19,10,Red,sup,yuyanjia,oe:player:ffd9bb08aa5f682fc46f59c6f89df6e,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,Leona,Lucian,Orianna,Graves,Kindred,Camille,1522,1,0,1,6,13,5,0,0,0,0,0,0,0,0,0.5125,0.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2271,89.5269,0.0495765,236.728,263.2983,37,1.4586,10,0.3942,12,63,2.4836,6159,2779,109.5532,0.0837216,5150,,34,34,0,0,0,1.3403,2172,2627,14,2000,2532,13,172,95,1,0,2,0,0,0,0,3618,3941,26,3006,3695,20,612,246,6,0,4,0,0,0,1
