gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,1,Blue,top,Huni,oe:player:bcb79ac1654e9a40600fba1eb3e53af,Clutch Gaming,oe:team:7b13b2cc48c457832262d00d5ffa6d6,Akali,Syndra,Yuumi,Qiyana,Caitlyn,Draven,2284,0,3,5,4,8,16,0,0,0,0,1,0,1,0,0.2102,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,14933,392.2855,0.288577,689.4483,410.8581,8,0.2102,8,0.2102,2,26,0.683,14601,9666,253.9229,0.259664,13600,,305,300,5,1,0,8.0123,3438,4668,85,2895,4347,68,543,321,17,0,1,1,0,0,1,4816,6604,121,5550,6678,110,-734,-74,11,0,2,2,0,1,1
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,2,Blue,jng,Lira,oe:player:0091a3bf5771fe6bbe6d4a37de32c6f,Clutch Gaming,oe:team:7b13b2cc48c457832262d00d5ffa6d6,Ekko,Syndra,Yuumi,Qiyana,Caitlyn,Draven,2284,0,1,5,6,8,16,0,0,0,0,1,1,0,0,0.2102,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10854,285.1313,0.209751,747.268,456.8301,43,1.1296,20,0.5254,17,78,2.049,11647,6712,176.3222,0.180309,11325,,200,66,134,97,9,5.2539,3210,3130,47,3753,4078,63,-543,-948,-16,1,0,1,1,1,0,4663,4921,75,5204,5658,89,-541,-737,-14,1,1,1,1,2,0
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,3,Blue,mid,Damonte,oe:player:b38e8427233eea81494ca1b3ec13f0a,Clutch Gaming,oe:team:7b13b2cc48c457832262d00d5ffa6d6,Renekton,Syndra,Yuumi,Qiyana,Caitlyn,Draven,2284,0,1,3,1,8,16,0,0,0,0,0,0,0,0,0.2102,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5124,134.606,0.0990202,694.5709,565.5079,25,0.6567,6,0.1576,13,30,0.7881,11724,6789,178.345,0.182378,11325,,273,266,7,6,0,7.1716,3016,4239,75,3733,4842,86,-717,-603,-11,0,0,0,1,0,0,5064,6904,126,5650,7361,140,-586,-457,-14,1,0,0,1,0,0
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,4,Blue,bot,Cody Sun,oe:player:9a877004ae6373d34cd9ba93decbbd9,Clutch Gaming,oe:team:7b13b2cc48c457832262d00d5ffa6d6,Xayah,Syndra,Yuumi,Qiyana,Caitlyn,Draven,2284,0,3,1,2,8,16,1,0,0,0,0,0,0,0,0.2102,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15290,401.6637,0.295476,361.4974,163.4501,13,0.3415,8,0.2102,6,25,0.6567,16706,11771,309.2207,0.316212,15100,,399,375,24,24,0,10.4816,3524,3287,88,3040,3284,65,484,3,23,0,0,0,0,0,0,4852,4771,120,4845,5577,105,7,-806,15,0,1,0,1,0,0
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,5,Blue,sup,Vulcan,oe:player:81acc6bcde5c927c78e0990e9887f84,Clutch Gaming,oe:team:7b13b2cc48c457832262d00d5ffa6d6,Rakan,Syndra,Yuumi,Qiyana,Caitlyn,Draven,2284,0,0,2,4,8,16,0,0,0,0,0,0,0,0,0.2102,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5546,145.6918,0.107175,285.8669,504.352,47,1.2347,12,0.3152,20,79,2.0753,7222,2287,60.0788,0.0614379,7450,,15,15,0,0,0,0.394,1898,2547,0,1895,2867,7,3,-320,-7,0,0,0,0,0,0,2841,3329,2,2915,3541,9,-74,-212,-7,0,1,0,0,1,1
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,6,Red,top,BOSS,oe:player:2c8efc1ed4a1fd3a51dbd7e29d8ea6c,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Neeko,Pantheon,Rumble,Gangplank,Skarner,Elise,2284,1,2,2,11,16,8,0,0,0,0,0,0,0,1,0.4203,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13270,348.5989,0.18004,306.2259,188.1436,22,0.5779,5,0.1313,7,40,1.0508,14409,9474,248.8792,0.215563,13675,,243,232,11,3,3,6.3835,2895,4347,68,3438,4668,85,-543,-321,-17,0,0,1,0,1,1,5550,6678,110,4816,6604,121,734,74,-11,0,1,1,0,2,2
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,7,Red,jng,AHaHaCiK,oe:player:63d4c2d98c6654867a62dbaa41d3379,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Rek'Sai,Pantheon,Rumble,Gangplank,Skarner,Elise,2284,1,3,2,4,16,8,0,0,0,0,0,0,0,0,0.4203,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11115,291.9877,0.150802,826.2872,618.31,33,0.8669,22,0.5779,9,88,2.3117,13158,8223,216.0158,0.187099,12325,,204,39,165,71,35,5.359,3753,4078,63,3210,3130,47,543,948,16,1,1,0,1,0,1,5204,5658,89,4663,4921,75,541,737,14,1,2,0,1,1,1
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,8,Red,mid,Nomanz,oe:player:3587454d4910f0665e2fda36ad2e91c,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Tristana,Pantheon,Rumble,Gangplank,Skarner,Elise,2284,1,5,1,6,16,8,1,0,0,0,0,0,0,0,0.4203,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23961,629.4483,0.325089,460.8757,268.4238,13,0.3415,20,0.5254,3,62,1.6287,17005,12070,317.0753,0.27463,16295,,337,313,24,17,0,8.8529,3733,4842,86,3016,4239,75,717,603,11,1,0,0,0,0,0,5650,7361,140,5064,6904,126,586,457,14,1,0,0,1,0,0
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,9,Red,bot,Innaxe,oe:player:e7e423ad06282e35abf80c69486374b,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Heimerdinger,Pantheon,Rumble,Gangplank,Skarner,Elise,2284,1,5,0,4,16,8,1,0,0,0,0,0,0,0,0.4203,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20072,527.2855,0.272325,219.9562,148.9492,11,0.289,5,0.1313,0,20,0.5254,14706,9771,256.6813,0.222321,13450,,269,249,20,12,4,7.0665,3040,3284,65,3524,3287,88,-484,-3,-23,0,0,0,0,0,0,4845,5577,105,4852,4771,120,-7,806,-15,1,0,0,0,1,0
ESPORTSTMNT06/1070330,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363,WCS,2019,,0,10/2/2019 10:22,1,9.19,10,Red,sup,Edward,oe:player:243f63354f4c1cc25d50f6269b84436,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Morgana,Pantheon,Rumble,Gangplank,Skarner,Elise,2284,1,1,3,9,16,8,0,0,0,0,0,0,0,0,0.4203,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5288,138.9142,0.0717445,331.3923,219.9562,56,1.4711,10,0.2627,16,90,2.3643,9347,4412,115.9019,0.100387,8300,,20,20,0,0,0,0.5254,1895,2867,7,1898,2547,0,-3,320,7,0,0,0,0,0,0,2915,3541,9,2841,3329,2,74,212,7,0,1,1,0,1,0
