gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,1,Blue,top,Nuguri,oe:player:f17b90d1dd0f1814bb1f82f77c2f861,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Aatrox,Yuumi,Azir,Nautilus,Ornn,Poppy,1943,1,2,0,3,13,1,0,0,0,0,0,0,0,0,0.4014,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,11145,344.1585,0.199442,362.3778,345.4555,12,0.3706,11,0.3397,6,44,1.3587,12801,8562,264.3953,0.229509,12760,,320,268,52,,,9.8816,3525,5091,95,2913,4396,73,612,695,22,0,0,0,0,0,0,5529,8215,157,4680,7337,129,849,878,28,0,0,0,0,0,0
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,2,Blue,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Sejuani,Yuumi,Azir,Nautilus,Ornn,Poppy,1943,1,3,1,8,13,1,0,0,0,0,1,1,0,0,0.4014,0.4323,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,8518,263.0365,0.152431,941.7499,955.8621,11,0.3397,14,0.4323,11,49,1.5131,10784,6545,202.1101,0.17544,10125,,168,20,148,,,5.1879,3697,3465,70,2794,2651,53,903,814,17,1,1,0,0,0,1,5426,5228,93,4521,5419,98,905,-191,-5,2,2,1,0,0,2
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,3,Blue,mid,ShowMaker,oe:player:5f8ff49cd56eae61d635966b183a451,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Swain,Yuumi,Azir,Nautilus,Ornn,Poppy,1943,1,2,0,4,13,1,0,0,0,0,1,0,1,0,0.4014,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,11138,343.9424,0.199316,287.5553,235.3371,19,0.5867,8,0.247,11,43,1.3278,11117,6878,212.3932,0.184366,9225,,247,237,10,,,7.6274,3597,4462,90,3125,4497,86,472,-35,4,1,1,0,0,0,1,5434,7364,144,4934,7443,145,500,-79,-1,1,2,0,0,0,1
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,4,Blue,bot,deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Lucian,Yuumi,Azir,Nautilus,Ornn,Poppy,1943,1,4,0,7,13,1,1,1,0,0,1,0,1,0,0.4014,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,19418,599.6294,0.347488,343.1086,175.4915,14,0.4323,7,0.2162,6,44,1.3587,15312,11073,341.9352,0.29682,14350,,321,274,47,,,9.9125,3185,2938,79,3234,3139,89,-49,-201,-10,0,2,0,0,0,0,5611,5603,135,5114,4944,135,497,659,0,0,5,0,1,0,1
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Nami,Yuumi,Azir,Nautilus,Ornn,Poppy,1943,1,2,0,9,13,1,1,0,0,0,1,0,1,0,0.4014,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5662,174.843,0.101322,147.9156,61.1117,71,2.1925,20,0.6176,16,115,3.5512,8487,4248,131.1786,0.113865,7250,,28,28,0,,,0.8646,2533,2756,8,1882,2568,2,651,188,6,0,2,0,0,0,0,4401,4093,15,2893,3870,3,1508,223,12,2,3,0,0,1,1
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,6,Red,top,Dove,oe:player:1d22c812efd7b8a4244d93c51acc399,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Gragas,Renekton,Sivir,Kalista,Sylas,Taliyah,1943,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0.0309,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,6052,186.8863,0.183789,511.4359,397.8281,16,0.4941,13,0.4014,10,44,1.3587,9715,5476,169.0993,0.204841,9300,,217,217,0,,,6.701,2913,4396,73,3525,5091,95,-612,-695,-22,0,0,0,0,0,0,4680,7337,129,5529,8215,157,-849,-878,-28,0,0,0,0,0,0
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Vi,Renekton,Sivir,Kalista,Sylas,Taliyah,1943,0,0,4,0,1,13,0,0,0,0,0,0,0,0,0.0309,0.4323,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,0,7116,219.7427,0.216101,693.2578,823.1395,8,0.247,13,0.4014,8,28,0.8646,9341,5102,157.5502,0.19085,9300,,180,23,157,,,5.5584,2794,2651,53,3697,3465,70,-903,-814,-17,0,0,1,1,1,0,4521,5419,98,5426,5228,93,-905,191,5,0,0,2,2,2,1
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,8,Red,mid,Clozer,oe:player:6adb46561c24655e0455d9b3fdc5698,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Ahri,Renekton,Sivir,Kalista,Sylas,Taliyah,1943,0,0,3,0,1,13,0,0,0,0,0,0,0,1,0.0309,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5867,181.1734,0.178171,351.8168,246.2069,8,0.247,10,0.3088,6,31,0.9573,10376,6137,189.5111,0.229568,10050,,259,259,0,,,7.9979,3125,4497,86,3597,4462,90,-472,35,-4,0,0,1,1,1,0,4934,7443,145,5434,7364,144,-500,79,1,0,0,1,1,2,0
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,9,Red,bot,Prince,oe:player:030a726de315d9ad86989bf360809e9,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Aphelios,Renekton,Sivir,Kalista,Sylas,Taliyah,1943,0,1,2,0,1,13,0,0,0,0,0,0,0,0,0.0309,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,11972,369.6963,0.36357,275.6356,333.5049,28,0.8646,16,0.4941,3,35,1.0808,12123,7884,243.4586,0.294922,11800,,306,293,13,,,9.4493,3234,3139,89,3185,2938,79,49,201,10,0,0,0,0,2,0,5114,4944,135,5611,5603,135,-497,-659,0,1,0,1,0,5,0
ESPORTSTMNT04_2472164,complete,,WCS,2022,,0,9/1/2022 7:08,1,12.14,10,Red,sup,Kael,oe:player:d24f38ec30ce6f7577066f80e43e4bf,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Lulu,Renekton,Sivir,Kalista,Sylas,Taliyah,1943,0,0,3,1,1,13,0,0,0,0,0,0,0,0,0.0309,0.4323,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,1922,59.3515,0.058368,299.753,186.6083,41,1.2661,10,0.3088,18,62,1.9146,6373,2134,65.8981,0.0798192,6100,,11,11,0,,,0.3397,1882,2568,2,2533,2756,8,-651,-188,-6,0,0,0,0,2,0,2893,3870,3,4401,4093,15,-1508,-223,-12,0,1,1,2,3,0
