gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,1,Blue,top,Expect,oe:player:7f036407d75c774176a7effbe959366,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Jayce,Aurelion Sol,Rek'Sai,Karma,,,2053,0,3,2,0,4,14,0,0,0,0,1,1,0,0,0.1169,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18919,552.9177,0.289871,414.0964,0,16,0.4676,4,0.1169,1,0,0,13132,8689,253.9406,0.277493,12275,,311,304,7,5,2,9.0891,3666,4324,74,3024,3696,59,642,628,15,2,0,0,1,1,2,5761,7088,131,4960,5825,92,801,1263,39,3,0,1,2,1,2
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,2,Blue,jng,Trick,oe:player:59c9428d4e21d63aefeb230c919dcfe,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Elise,Aurelion Sol,Rek'Sai,Karma,,,2053,0,1,3,2,4,14,0,0,0,0,1,0,1,0,0.1169,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11965,349.6834,0.183324,706.0594,0,24,0.7014,11,0.3215,4,0,0,10344,5901,172.4598,0.188451,9475,,122,37,85,84,1,3.5655,2935,3155,30,3439,3829,41,-504,-674,-11,0,2,1,1,2,0,4497,5226,47,5649,5565,59,-1152,-339,-12,1,2,1,3,3,0
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,3,Blue,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Syndra,Aurelion Sol,Rek'Sai,Karma,,,2053,0,0,3,0,4,14,0,0,0,0,0,0,0,0,0.1169,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14441,422.0458,0.22126,315.6064,0,13,0.3799,5,0.1461,3,0,0,11530,7087,207.1213,0.226329,11075,,310,286,24,21,3,9.0599,3226,4431,90,3218,4440,84,8,-9,6,0,0,1,0,1,0,4919,6791,139,5454,7207,135,-535,-416,4,0,0,2,0,3,0
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,4,Blue,bot,Zven,oe:player:10fcffece0ac7be85f09c4b51a75762,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Jhin,Aurelion Sol,Rek'Sai,Karma,,,2053,0,0,2,1,4,14,0,0,0,0,0,0,0,0,0.1169,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15664,457.7886,0.239999,269.3424,0,13,0.3799,9,0.263,1,0,0,10841,6398,186.9849,0.204324,10750,,282,278,4,4,0,8.2416,3339,3315,94,3549,3093,86,-210,222,8,0,0,1,1,1,0,4864,5116,135,5617,4982,129,-753,134,6,0,1,1,1,3,1
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,5,Blue,sup,Mithy,oe:player:0602036a87550a3c7c8aa049ddaef49,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Braum,Aurelion Sol,Rek'Sai,Karma,,,2053,0,0,4,3,4,14,0,0,0,0,0,0,0,0,0.1169,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4278,125.0268,0.0655461,502.5329,0,50,1.4613,15,0.4384,11,0,0,7681,3238,94.6322,0.103403,7025,,42,42,0,0,0,1.2275,2026,2714,11,1988,2778,0,38,-64,11,0,1,0,0,3,0,3266,3968,19,3583,4117,3,-317,-149,16,0,3,1,0,5,1
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,6,Red,top,Darshan,oe:player:5e79b66b78498aa1aec126b0b4ca1a1,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Poppy,Nidalee,Sivir,Soraka,,,2053,1,2,2,7,14,4,0,0,0,0,0,0,0,1,0.4092,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8252,241.169,0.136098,635.1583,0,17,0.4968,6,0.1754,3,0,0,12402,7959,232.6059,0.186901,11225,,225,217,8,7,1,6.5757,3024,3696,59,3666,4324,74,-642,-628,-15,1,1,2,2,0,0,4960,5825,92,5761,7088,131,-801,-1263,-39,2,1,2,3,0,1
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,7,Red,jng,Xmithie,oe:player:419bc348a61e7433593ea741189d833,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Olaf,Nidalee,Sivir,Soraka,,,2053,1,6,0,5,14,4,1,0,0,0,0,0,0,0,0.4092,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11931,348.6897,0.196774,933.2294,0,25,0.7306,16,0.4676,8,0,0,12873,8430,246.3712,0.197962,11425,,145,50,95,70,25,4.2377,3439,3829,41,2935,3155,30,504,674,11,1,2,0,0,2,1,5649,5565,59,4497,5226,47,1152,339,12,3,3,0,1,2,1
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,8,Red,mid,huhi,oe:player:9191e392e93a6ef011ef76b5b83ee6c,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Vladimir,Nidalee,Sivir,Soraka,,,2053,1,2,0,7,14,4,0,0,0,0,0,0,0,0,0.4092,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16921,494.5251,0.279072,705.5918,0,21,0.6137,9,0.263,7,0,0,13918,9475,276.9118,0.222502,11610,,317,305,12,7,5,9.2645,3218,4440,84,3226,4431,90,-8,9,-6,0,1,0,0,0,1,5454,7207,135,4919,6791,139,535,416,-4,0,3,0,0,0,2
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,9,Red,bot,Stixxay,oe:player:51d421a31ce72460198ef946995fb11,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Caitlyn,Nidalee,Sivir,Soraka,,,2053,1,4,1,8,14,4,1,1,0,0,0,0,0,0,0.4092,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18409,538.0127,0.303614,443.2635,0,12,0.3507,11,0.3215,2,0,0,16122,11679,341.3249,0.274261,13350,,362,329,33,17,16,10.5796,3549,3093,86,3339,3315,94,210,-222,-8,1,1,0,0,0,1,5617,4982,129,4864,5116,135,753,-134,-6,1,3,1,0,1,1
TRLH1/1001890146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6,WCS,2016,,0,9/29/2016 22:28,1,6.18,10,Red,sup,aphromoo,oe:player:f48c70640770b42b5d7dd72aa21e005,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Nami,Nidalee,Sivir,Soraka,,,2053,1,0,1,13,14,4,0,0,0,0,0,0,0,0,0.4092,0.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5120,149.6347,0.0844425,250.9596,0,38,1.1106,12,0.3507,7,0,0,9484,5041,147.3259,0.118375,7675,,12,12,0,0,0,0.3507,1988,2778,0,2026,2714,11,-38,64,-11,0,3,0,0,1,0,3583,4117,3,3266,3968,19,317,149,-16,0,5,1,0,3,1
