gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,1,Blue,top,Licorice,oe:player:e03d0722b6dce835cde3268c08c4f54,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Aatrox,Vel'Koz,Shen,Akali,Irelia,Braum,1811,1,3,1,5,13,6,0,0,0,0,0,0,0,0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11334,375.5052,0.218676,569.0889,354.2352,13,0.4307,7,0.2319,5,34,1.1264,14404,10434,345.6875,0.252572,11725,,314,274,40,13,12,10.4031,3463,5060,97,3044,4438,76,419,622,21,0,0,0,0,0,0,6066,7802,156,4483,6817,117,1583,985,39,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,2,Blue,jng,Blaber,oe:player:ed455f823b6586e9e3621dfb5aeb42e,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Xin Zhao,Vel'Koz,Shen,Akali,Irelia,Braum,1811,1,4,2,4,13,6,1,0,0,0,0,0,0,0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7941,263.0922,0.153212,905.7979,500.8062,9,0.2982,12,0.3976,7,57,1.8885,12060,8090,268.0287,0.195832,10608,,181,23,158,95,16,5.9967,3034,3453,61,2968,3356,51,66,97,10,0,0,0,0,0,0,4702,5995,90,4366,5480,82,336,515,8,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,3,Blue,mid,Jensen,oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Ryze,Vel'Koz,Shen,Akali,Irelia,Braum,1811,1,2,1,5,13,6,0,0,0,0,0,0,0,0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11482,380.4086,0.221532,284.2628,264.7156,14,0.4638,6,0.1988,10,31,1.0271,13040,9070,300.497,0.219554,11950,,310,287,23,16,5,10.2706,3444,4949,95,3314,4971,92,130,-22,3,0,0,0,0,0,0,5650,8029,161,5204,8182,156,446,-153,5,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,4,Blue,bot,Sneaky,oe:player:267b730dd2e2dcb97182a2795935491,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Kai'Sa,Vel'Koz,Shen,Akali,Irelia,Braum,1811,1,4,0,6,13,6,0,0,0,0,1,1,0,0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17262,571.905,0.33305,245.4666,179.4699,12,0.3976,10,0.3313,4,33,1.0933,13546,9576,317.2612,0.231803,11150,,296,288,8,4,0,9.8067,3161,3082,82,3151,3402,84,10,-320,-2,0,0,0,0,0,0,5483,5260,138,5082,5805,146,401,-545,-8,1,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,5,Blue,sup,Zeyzal,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Leona,Vel'Koz,Shen,Akali,Irelia,Braum,1811,1,0,2,10,13,6,0,0,0,0,1,0,1,0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3811,126.2617,0.0735288,415.0966,533.8708,46,1.524,5,0.1657,19,70,2.3192,8111,4141,137.1949,0.100239,7425,,60,60,0,0,0,1.9879,2065,2902,17,2018,2607,3,47,295,14,0,0,0,0,0,0,3389,4881,29,3083,3944,8,306,937,21,0,1,0,0,0,1
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,6,Red,top,Zantins,oe:player:ad3b41b0663f51490d31a84c75c9330,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Urgot,Camille,Alistar,Kindred,Galio,Thresh,1811,0,1,3,0,6,13,0,0,0,0,0,0,0,0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5383,178.3435,0.129698,554.6107,867.2004,13,0.4307,2,0.0663,5,26,0.8614,10182,6212,205.8089,0.22793,9800,,260,242,18,18,0,8.614,3044,4438,76,3463,5060,97,-419,-622,-21,0,0,0,0,0,0,4483,6817,117,6066,7802,156,-1583,-985,-39,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,7,Red,jng,Ranger,oe:player:b23f665210a1914cab61bc8eba4c9ae,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Olaf,Camille,Alistar,Kindred,Galio,Thresh,1811,0,2,2,3,6,13,0,0,0,0,0,0,0,0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5701,188.8791,0.13736,702.1756,550.5356,13,0.4307,8,0.265,8,40,1.3252,8654,4684,155.185,0.171864,8600,,138,16,122,91,2,4.5721,2968,3356,51,3034,3453,61,-66,-97,-10,0,0,0,0,0,0,4366,5480,82,4702,5995,90,-336,-515,-8,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Viktor,Camille,Alistar,Kindred,Galio,Thresh,1811,0,1,2,1,6,13,0,0,0,0,0,0,0,0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12578,416.72,0.303055,217.7361,211.9713,15,0.497,2,0.0663,8,29,0.9608,10501,6531,216.3777,0.239635,9600,,296,288,8,8,0,9.8067,3314,4971,92,3444,4949,95,-130,22,-3,0,0,0,0,0,0,5204,8182,156,5650,8029,161,-446,153,-5,0,0,0,0,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,9,Red,bot,TitaN,oe:player:1c010180887360e5d6ab967fd93693d,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Lucian,Camille,Alistar,Kindred,Galio,Thresh,1811,0,1,2,4,6,13,0,0,0,0,0,0,0,0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14546,481.9216,0.350472,534.1358,212.0707,15,0.497,7,0.2319,9,30,0.9939,11458,7488,248.0839,0.274749,11450,,282,272,10,10,0,9.3429,3151,3402,84,3161,3082,82,-10,320,2,0,0,0,0,0,0,5082,5805,146,5483,5260,138,-401,545,8,0,0,0,1,0,0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WCS,2018,,0,10/1/2018 7:45,1,8.19,10,Red,sup,Riyev,oe:player:331d9c928188b8b132c13c143d070bb,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Pyke,Camille,Alistar,Kindred,Galio,Thresh,1811,0,1,4,3,6,13,0,0,0,0,0,0,0,1,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3296,109.1993,0.079414,428.3821,468.9674,34,1.1264,14,0.4638,13,71,2.3523,6309,2339,77.4931,0.0858214,6225,,17,17,0,0,0,0.5632,2018,2607,3,2065,2902,17,-47,-295,-14,0,0,0,0,0,0,3083,3944,8,3389,4881,29,-306,-937,-21,0,0,1,0,1,0
